"0.8-1,10",本科,1年经验,机械工程师MechanicalEngineer,上海-浦东新区
"6-8,1",大专,2年经验,机械工程师,上海
"1.2-2,10",本科,5-7年经验,机械主管,上海-松江区
"1-1.5,10",大专,3-4年经验,机械工程师,上海-奉贤区
"15-20,0.8",本科,5-7年经验,高级机械工程师,上海-徐汇区
"1.5-1.8,10",本科,3-4年经验,机械工程师,上海-嘉定区
"0.5-1,10",本科,3-4年经验,机械项目工程师,上海-长宁区
"6-8,1",大专,2年经验,机械设计工程师,上海-浦东新区
"4-8,1",大专,2年经验,机械设计工程师,上海-嘉定区
"1-1.5,10",本科,8-9年经验,机械装配工艺工程师,上海-松江区
"0.6-1.5,10",大专,3-4年经验,包装机械设计工程师,上海-松江区
"0.8-1.2,10",本科,2年经验,机械设计,上海-宝山区
"1-1.5,10",本科,3-4年经验,机械工程师,上海-松江区
"3.5-5,1",高中,3-4年经验,机械装配工,上海-青浦区
"0.8-1.2,10",招1人,无工作经验,机械工程师,上海-青浦区
"1-2,10",本科,2年经验,专利代理人（电子、通讯或机械方向）,上海-虹口区
"0.8-1.2,10",招若干人,3-4年经验,机械设计工程师,上海-松江区
"4.5-6,1",大专,1年经验,机械绘图员,上海-浦东新区
"1-1.5,10",大专,5-7年经验,高级机械设计工程师,上海-闵行区
"5-8,1",本科,2年经验,机械研发工程师,上海-徐汇区
"6-8,1",大专,2年经验,高新聘请-机械工程师,上海-嘉定区
"5-6.5,1",大专,1年经验,机械制图员,上海-金山区
"0.8-1.5,10",本科,无工作经验,机械工程师,上海-松江区
"6-8,1",招1人,无工作经验,机械工程师,上海-闵行区
"0.7-1,10",本科,3-4年经验,机械工程师,上海-奉贤区
"1-1.5,10",大专,3-4年经验,机械工程师,上海-浦东新区
"0.6-2.5,10",本科,1年经验,机械设计研发工程师,上海-宝山区
"6-8,1",本科,2年经验,流体机械工程师,上海-闵行区
"6-8,1",大专,1年经验,机械工程师,上海-松江区
"6-8,1",中专,无工作经验,模具设计师机械制图热流道,上海
"4.5-6,1",本科,无工作经验,机械工程师,上海-青浦区
"6-8,1",大专,1年经验,化工机械工程师,上海-浦东新区
"6-8,1",大专,5-7年经验,机械设计工程师,上海
"5-8,1",招17人,无工作经验,装配工（机械、液压）,上海-浦东新区
"4-5.5,1",大专,无工作经验,机械设计材料工程自动化等专业应往届生,上海-浦东新区
"0.8-1,10",大专,无工作经验,机械工程师,上海-青浦区
"18-28,0.8",硕士,无工作经验,机械工程师,上海-松江区
"7.5-9,1",本科,无工作经验,设备工程师/机械工程师,上海-松江区
"4.5-8,1",招1人,无工作经验,机械设计工程师,上海
"1-1.5,10",本科,无工作经验,机械工程师（技术方向或者业务方向）,上海-普陀区
"0.6-2,10",本科,3-4年经验,机械工程师,上海-奉贤区
"6-8,1",大专,3-4年经验,工程机械销售/国际贸易,上海-松江区
"0.8-1.2,10",高中,1年经验,机械工程师(职位编号：001),上海-闵行区
"0.8-1.2,10",本科,1年经验,高级机械工程师,上海-闵行区
"6-8,1",大专,2年经验,机械结构工程师(职位编号：1031),上海-浦东新区
"4.5-6,1",本科,3-4年经验,工程/机械绘图员（可接受实习生）,上海
"5-8,1",本科,1年经验,机械工程师,上海-松江区
"6-8,1",大专,2年经验,机械工程师,上海-嘉定区
"6-8,1",大专,1年经验,机械工程师,上海-杨浦区
"0.8-1.5,10",大专,5-7年经验,机械审图,上海
"4.5-8,1",大专,无工作经验,助理机械工程师,上海-奉贤区
"5.5-6.5,1",本科,无工作经验,自动化机械工程师（设备部储备干部）,上海
"5.5-8.5,1",招3人,1年经验,汽车机械工程师,上海
"1-1.5,10",本科,5-7年经验,机械加工工艺工程师,上海
"0.8-1.5,10",招2人,无工作经验,机械设计高级工程师,上海-闵行区
"1-1.5,10",招2人,无工作经验,机械工程师,上海-青浦区
"0.8-1,10",大专,3-4年经验,机械设计工程师(职位编号：001),上海-普陀区
"18-30,0.8",本科,5-7年经验,自动化机械工程师,上海
"4-6,1",中专,1年经验,机械质量检验员,上海-闵行区
"0.6-1,10",大专,3-4年经验,机械结构设计师(职位编号：007),上海-嘉定区
"1.5-2,10",本科,8-9年经验,高级机械工程师(职位编号：5),上海-闵行区
"5-8,1",本科,无工作经验,机械工程师,上海-浦东新区
"7-9,1",本科,3-4年经验,机械设计工程师,上海-浦东新区
"6-8,1",本科,3-4年经验,工程/机械绘图员,上海-嘉定区
"0.6-2,10",大专,1年经验,机械工程师,上海-松江区
"0.6-1,10",大专,3-4年经验,机械设计师,上海-青浦区
"10-15,0.8",本科,3-4年经验,机械工程师,上海-徐汇区
"3-4.5,1",中专,2年经验,机械j加工绘图员,上海-金山区
"1-1.5,10",本科,无工作经验,工科留学服务顾问（机械/自动化/计算机/电子电气）,上海-黄浦区
"6-8,1",本科,1年经验,专利代理人（机械方向）,上海-静安区
"1-1.5,10",本科,5-7年经验,机械设计师,上海-杨浦区
"0.8-1,10",大专,10年以上经验,机械加工工艺工程师,上海-嘉定区
"0.6-1.3,10",招2人,2年经验,机械设计师(职位编号：02),上海-松江区
